name,same_as,shortname_mx10,entity,nerc_url,key
acceleration axes,,acc_axes,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000001,MVB000001
acceleration raw x,,acc_raw_x,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000002,MVB000002
acceleration raw y,,acc_raw_y,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000003,MVB000003
acceleration raw z,,acc_raw_z,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000004,MVB000004
acceleration sampling frequency per axis,,acc_freq,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000005,MVB000005
acceleration x,,acc_x,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006,MVB000006
acceleration y,,acc_y,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007,MVB000007
acceleration z,,acc_z,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000008,MVB000008
accelerations raw,,acc_raw,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000009,MVB000009
acknowledgements,,acknowldgm,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000010,MVB000010
algorithm marked outlier,,alg_outl,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000011,MVB000011
alt project ID,,alt_projid,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000244,MVB000244
angular velocities raw,,angvel_raw,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000245,MVB000245
angular velocity X,,angvel_x,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000246,MVB000246
angular velocity Y,,angvel_y,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000247,MVB000247
angular velocity Z,,angvel_z,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000248,MVB000248
animal comments,,animal_com,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000012,MVB000012
animal death comments,,ani,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000013,MVB000013
animal earliest date born,,,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000014,MVB000014
animal exact date of birth,,,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000015,MVB000015
animal ID,individual local identifier,,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000016,MVB000016
animal latest date born,,,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000017,MVB000017
animal life stage,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000018,MVB000018
animal mass,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000019,MVB000019
animal nickname,,,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000020,MVB000020
animal reproductive condition,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000021,MVB000021
animal ring ID,,,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000022,MVB000022
animal sex,,,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000023,MVB000023
animal taxon,individual taxon canonical name,,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000024,MVB000024
animal taxon detail,,,individual,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000025,MVB000025
Argos altitude,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000026,MVB000026
Argos best level,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000027,MVB000027
Argos calcul freq,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000028,MVB000028
Argos error radius,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000029,MVB000029
Argos GDOP,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000030,MVB000030
Argos IQ,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000031,MVB000031
Argos lat1,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000032,MVB000032
Argos lat2,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000033,MVB000033
Argos LC,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000034,MVB000034
Argos lon1,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000035,MVB000035
Argos lon2,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000036,MVB000036
Argos nb mes,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000037,MVB000037
Argos nb mes 120,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000038,MVB000038
Argos NOPC,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000039,MVB000039
Argos orientation,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000040,MVB000040
Argos pass duration,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000041,MVB000041
Argos sat ID,Argos satellite ID,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000042,MVB000042
Argos semi major,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000043,MVB000043
Argos semi minor,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000044,MVB000044
Argos sensor 1,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000045,MVB000045
Argos sensor 2,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000046,MVB000046
Argos sensor 3,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000047,MVB000047
Argos sensor 4,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000048,MVB000048
Argos transmission timestamp,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000049,MVB000049
Argos valid location algorithm,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000050,MVB000050
Argos valid location manual,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000051,MVB000051
attachment type,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000052,MVB000052
barometric depth,bar barometric depth,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000053,MVB000053
barometric height,bar barometric height,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000054,MVB000054
barometric pressure,bar barometric pressure,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000055,MVB000055
BAS compensated latitude,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000056,MVB000056
BAS confidence,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000057,MVB000057
BAS fix type,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000058,MVB000058
BAS mid value secs,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000059,MVB000059
BAS stationary latitude,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000060,MVB000060
BAS transition 1,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000061,MVB000061
BAS transition 2,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000062,MVB000062
battery charge percent,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000063,MVB000063
battery charging current,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000064,MVB000064
behavior according to,behaviour according to,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000066,MVB000066
behavioural classification,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000067,MVB000067
citation,,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000068,MVB000068
comments,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000069,MVB000069
compass heading,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000070,MVB000070
conductivity,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000071,MVB000071
contact person,contact person name,,study,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000072,MVB000072
CPU temperature,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000249,MVB000249
data decoding software,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000214,MVB000214
data processing software,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000073,MVB000073
deploy off latitude,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000074,MVB000074
deploy off longitude,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000075,MVB000075
deploy off person,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000076,MVB000076
deploy off timestamp,deploy off date,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000077,MVB000077
deploy on latitude,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000078,MVB000078
deploy on longitude,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000079,MVB000079
deploy on person,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000080,MVB000080
deploy on timestamp,deploy on date,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000081,MVB000081
deployment comments,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000082,MVB000082
deployment end comments,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000083,MVB000083
deployment end type,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000084,MVB000084
deployment ID,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000085,MVB000085
duty cycle,,,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000086,MVB000086
end timestamp,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000102,MVB000102
eobs acceleration axes,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000087,MVB000087
eobs acceleration sampling frequency per axis,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000088,MVB000088
eobs accelerations raw,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000089,MVB000089
eobs activity,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000090,MVB000090
eobs activity samples,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000091,MVB000091
eobs battery voltage,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000092,MVB000092
eobs fix battery voltage,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000093,MVB000093
eobs horizontal accuracy estimate,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000094,MVB000094
eobs key bin checksum,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000095,MVB000095
eobs speed accuracy estimate,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000096,MVB000096
eobs start timestamp,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000097,MVB000097
eobs status,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000098,MVB000098
eobs temperature,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000099,MVB000099
eobs type of fix,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000100,MVB000100
eobs used time to get fix,,,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000101,MVB000101
event ID,,event_id,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000103,MVB000103
external temperature,temperature external,ext_temp,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000104,MVB000104
Flt switch,,flt_switch,event,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000105,MVB000105
geolocator calibration,,geoloc_cal,deployment,http://vocab.nerc.ac.uk/collection/MVB/current/MVB000106,MVB000106
