"name","same_as","shortname_mx10","shortname_novoc","shortname_novoc_max10","entity","nerc_url","key"
"acceleration axes","","acc_axes","cclrtnxs","cclrtnxs","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000001","MVB000001"
"acceleration raw x","","acc_raw_x","cclrtnrwx","cclrtnrwx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000002","MVB000002"
"acceleration raw y","","acc_raw_y","cclrtnrwy","cclrtnrwy","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000003","MVB000003"
"acceleration raw z","","acc_raw_z","cclrtnrwz","cclrtnrwz","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000004","MVB000004"
"acceleration sampling frequency per axis","","acc_freq","cclrtnsmplngfrqncyprxs","cclrtnsmpl","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000005","MVB000005"
"acceleration x","","acc_x","cclrtnx","cclrtnx","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000006","MVB000006"
"acceleration y","","acc_y","cclrtny","cclrtny","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000007","MVB000007"
"acceleration z","","acc_z","cclrtnz","cclrtnz","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000008","MVB000008"
"accelerations raw","","acc_raw","cclrtnsrw","cclrtnsrw","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000009","MVB000009"
"acknowledgements","","acknowldgm","cknwldgmnts","cknwldgmnt","study","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000010","MVB000010"
"algorithm marked outlier","","alg_outl","lgrthmmrkdtlr","lgrthmmrkd","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000011","MVB000011"
"alt project ID","","alt_projid","ltprjctID","ltprjctID","deployment","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000244","MVB000244"
"angular velocities raw","","angvel_raw","nglrvlctsrw","nglrvlctsr","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000245","MVB000245"
"angular velocity X","","angvel_x","nglrvlctyX","nglrvlctyX","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000246","MVB000246"
"angular velocity Y","","angvel_y","nglrvlctyY","nglrvlctyY","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000247","MVB000247"
"angular velocity Z","","angvel_z","nglrvlctyZ","nglrvlctyZ","event","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000248","MVB000248"
"animal comments","","animal_com","nmlcmmnts","nmlcmmnts","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000012","MVB000012"
"animal death comments","","ani","nmldthcmmnts","nmldthcmmn","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000013","MVB000013"
"animal earliest date born","","","nmlrlstdtbrn","nmlrlstdtb","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000014","MVB000014"
"animal exact date of birth","","","nmlxctdtfbrth","nmlxctdtfb","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000015","MVB000015"
"animal ID","individual local identifier","","nmlID","nmlID","individual","http://vocab.nerc.ac.uk/collection/MVB/current/MVB000016","MVB000016"
